ID,Site,Transect_coordinates,Forest_type,Distance,NH4_conc,NO3_conc,Ammonification,Nitrification,P,pH,soil_temp,litter_depth,O_depth,soil_moisture,SOM,prop_pine_litter,prop_hw_litter,total_floor_litter,pine_floor_litter,hw_floor_litter,Broad_leaf_herbs,Grassy_herbs,Ferns,Shrubs,Vines,Moss,Leaf_litter,Bare_soil,Rock,Max_height,All_plants,AM_basal,ECM_basal,hw_basal,pine_basal,num_stems,total_basal,ECM.AM,no_pine_saplings,PO4,PO4_release,root_density,ECM_abundance,SAP_abundance,soilSAP_abundance,AM_abundance,root_endophyte_abundance,contact_expl,short_dist_expl,med_dist_expl,long_dist_expl,mat_expl,Nitrifier_abundance,Copiotroph_abundance,Oligotroph_abundance,chitinase_ECbac_abund,denitrification_ECbac_abund,PO4uptake_ECfun_abund,denitrification_ECfun_abund,NH4uptake_ECfun_abund,ECM_chitinase_ECfun,SAP_chitinase_ECfun,ECM_PO4uptake_ECfun,SAP_PO4uptake_ECfun,ECM_NH4uptake_ECfun,SAP_NH4uptake_ECfun,Oligotroph_chitinase_ECbac,fun_amm_neg_module_abundance,fun_nitr_pos_module_abundance,fun_nitr_neg_module_abundance,fun_pmin_pos_module_abundance,fun_pmin_neg_module_abundance,bac_amm_pos_module_abundance,bac_amm_neg_module_abundance,bac_nitr_pos_module_abundance,bac_nitr_neg_module_abundance,bac_pmin_pos_module_abundance,bac_pmin_neg_module_abundance,bac_richness,bac_shannon,fun_richness,fun_shannon,bac_evenness,fun_evenness,edaphic_PC1,bac_copy_number,ITS_copy_number,fun_amm_pos_module_abundance,soil_temp2022,soil_moisture2022,Copiotroph_chitinase_ECbac,Copios_denitrification_ECbac,soil_percN,soil_percC,EMF_richness,EMF_Shannon,amidine.hydro_ECbac_abund,amino.hydro_ECbac_abund,DMhydrolase_ECbac_abund,glycosidaseN_ECbac_abund,glycosidaseOS_ECbac_abund,CPhydrolase_ECbac_abund,Noxidoreductase_ECbac_abund,Poxidoreductase_ECbac_abund,amine.oxidase_ECbac_abund,peptidase_broad_ECbac_abund,phosphatase_ECbac_abund,PDhydrolase_ECbac_abund,PMhydrolase_ECbac_abund,TMhydrolase_ECbac_abund,Phydrolase_ECbac_abund,Copiotroph_amidine.hydro_ECbac,Oligotroph_amidine.hydro_ECbac,Copiotroph_amino.hydro_ECbac,Oligotroph_amino.hydro_ECbac,Copiotroph_DMhydrolase_ECbac,Oligotroph_DMhydrolase_ECbac,Copiotroph_glycosidaseN_ECbac,Oligotroph_glycosidaseN_ECbac,Copiotroph_glycosidaseOS_ECbac,Oligotroph_glycosidaseOS_ECbac,Copiotroph_Noxidoreductase_ECbac,Oligotroph_Noxidoreductase_ECbac,Copiotroph_Poxidoreductase_ECbac,Oligotroph_Poxidoreductase_ECbac,Copiotroph_amine.oxidase_ECbac,Oligotroph_amine.oxidase_ECbac,Copiotroph_peptidase_broad_ECbac,Oligotroph_peptidase_broad_ECbac,Copiotroph_phosphatase_ECbac,Oligotroph_phosphatase_ECbac,Copiotroph_PDhydrolase_ECbac,Oligotroph_PDhydrolase_ECbac,Copiotroph_PMhydrolase_ECbac,Oligotroph_PMhydrolase_ECbac,Copiotroph_TMhydrolase_ECbac,Oligotroph_TMhydrolase_ECbac,Copiotroph_Phydrolase_ECbac,Oligotroph_Phydrolase_ECbac,amidine.hydro_ECfun_abund,amino.hydro_ECfun_abund,DMhydrolase_ECfun_abund,glycosidaseN_ECfun_abund,glycosidaseOS_ECfun_abund,peptidase_broad_ECfun_abund,phosphatase_ECfun_abund,PDhydrolase_ECfun_abund,PMhydrolase_ECfun_abund,PThydrolase_ECfun_abund,TMhydrolase_ECfun_abund,Phydrolase_ECfun_abund,Noxidoreductase_ECfun_abund,Poxidoreductase_ECfun_abund,amine.oxidase_ECfun_abund,ECM_amidine.hydro_ECfun,SAP_amidine.hydro_ECfun,ECM_amino.hydro_ECfun,SAP_amino.hydro_ECfun,ECM_DMhydrolase_ECfun,SAP_DMhydrolase_ECfun,ECM_glycosidaseN_ECfun,SAP_glycosidaseN_ECfun,ECM_glycosidaseOS_ECfun,SAP_glycosidaseOS_ECfun,ECM_peptidase_broad_ECfun,SAP_peptidase_ECfun_broad,ECM_phosphatase_ECfun,SAP_phosphatase_ECfun,ECM_PDhydrolase_ECfun,SAP_PDhydrolase_ECfun,ECM_PMhydrolase_ECfun,SAP_PMhydrolase_ECfun,ECM_TMhydrolase_ECfun,SAP_TMhydrolase_ECfun,ECM_Phydrolase_ECfun,SAP_Phydrolase_ECfun,ECM_Noxidoreductase_ECfun,SAP_Noxidoreductase_ECfun,ECM_Poxidoreductase_ECfun,SAP_Poxidoreductase_ECfun,ECM_amine.oxidase_ECfun,SAP_amine.oxidase_ECfun,all_Ndecomp_ECbac_sum,all_Ndecomp_ECbac_avg,all_ECM_Ndecomp_ECfun,all_oligo_Ndecomp_ECbac
HF2E 30m B,HF2,"42.541251, -72.184235",Encroachment,30,0.077308121,0,NA,NA,NA,3.46,19.4,2.5,3,0.585861183,0.549968963,0.005154639,1.003865979,0.026625,1.00E-04,0.019475,2,0,2,0,0,0,4,0,0,0.156,4,18.65295933,117.3831367,136.0360961,0,5,136.0360961,6.023679932,19,0,NA,4.414121303,0.507784074,0.458216523,0.447778109,0.001371906,0,0.304742022,0.0031017,0.198210558,0.002028035,0,0,0.2591066,0.128625895,0.69,0.5,0.034869677,2.211742831,0.181394436,0.792138003,0.187179819,0.853068919,0.137431551,0.914390011,0.080466514,0.383333333,0.485714286,0.499970176,0.504145541,0.541783477,0.464658515,0.456437735,0.458421351,0.54781287,0.353830697,0.235560822,0.437194085,307,5.112793047,67,2.431465515,0.892776144,0.57827426,-0.652492624,644976.0844,1864090.274,0.532299433,66,0.541781451,0.073333333,0.26,NA,NA,12,1.011082402,5.73,0.46,0.05,1.38,0.55,0.01,16.51,1.72,0.22,7.92,4.49,0.84,4.23,0.24,5.31,0.452935411,0.093679829,0.432900433,0.142857143,0.6,0,0.342850091,0.12442522,0.073333333,0.316666667,0.455583062,0.111278371,0.243763771,0.112846477,0.1,0,0.33646654,0.181655019,0.452557732,0.099066005,0.411522763,0.182480377,0.343850985,0.225188782,0.458333333,0.166666667,0.358458767,0.216412519,18.4336961,7.303385157,0.020343802,1.466410433,0.441386952,17.48777898,12.33711151,6.089151483,23.66835948,0.000245085,0.00245085,29.7602069,40.26376577,3.645681121,0.094750807,0.799157251,0.190645811,0.753665075,0.230684348,0.977762,0.022238,0.847001114,0.143805994,0.82952052,0.159222053,0.85931004,0.130088785,0.872836949,0.116261967,0.831357774,0.159849226,0.858741421,0.131716613,0,1,0.853831588,0.136759609,0.797168471,0.187546447,0.838086191,0.154015375,0.867877672,0.125888831,33.46,4.1825,5.677960474,1.16255359
HF2E 60m A,HF2,"42.541251, -72.184235",Encroachment,60,0.072681689,0,26.75350602,0,871.1,3.29,18,1,5,0.667843632,0.860668185,0.006134969,1.006134969,0.028325,0.00015,0.0246,2,0,0,0,0,1,4,0,0,0.247,3,44.65728548,161.7388236,188.3431639,18.05294519,14,206.3961091,3.564356091,22,1.923152091,0.004020987,6.59447385,0.425728422,0.51786696,0.487630566,0.004398021,0,0.084991754,0.000549753,0.348873007,0.005607477,0,0,0.227656168,0.10961793,0.43,0.29,0.057402868,1.853944008,0.275467798,0.475448684,0.520434726,0.204814848,0.78817486,0.334844054,0.660317496,0.355555556,0.412754261,0.521495327,0.297636064,0.592413414,0.391973612,0.393922601,0.400110834,0.493550075,0.318339953,0.206951756,0.376281518,403,5.322013232,79,3.06509728,0.887159445,0.701483891,-1.937377537,2204503.903,8570407.583,0.526663002,63,0.138257576,0.055555556,0.275862069,1.614412785,47.18727875,13,1.131689008,3.22,0.27,0.04,0.83,0.34,0.01,9.66,1,0.14,4.57,2.53,0.49,2.46,0.13,3.08,0.396283221,0.101926452,0.433333333,0.152380952,0.5,0,0.306734932,0.129148629,0.055555556,0.288888889,0.406575525,0.101989247,0.185315431,0.091517477,0.083333333,0,0.288090043,0.184893519,0.400185791,0.09066549,0.398941799,0.195767196,0.342698611,0.171692537,0.384615385,0.153846154,0.353469701,0.175110101,18.36576753,1.965195267,0,1.679625759,0.621176666,20.88011802,11.1542886,7.101645201,27.22072296,0.000171245,0.001712446,34.32425185,45.76750385,4.115312613,0.076203314,0.350123443,0.647043402,0.364185366,0.633882344,0,1,0.466487469,0.529266147,0.334746514,0.656535612,0.524665141,0.469910494,0.559073807,0.435797866,0.464613333,0.531730842,0.48677468,0.508663119,0,1,0.48276689,0.512834094,0.406610207,0.585622831,0.358289711,0.637046018,0.130160031,0.869839969,19.46,2.4325,2.922266824,1.153037212
HF2E 60m B,HF2,"42.541251, -72.184235",Encroachment,60,0.156670117,0,23.57107072,0,948.3,3.53,18,1,5,0.625955204,0.705530116,0.006134969,1.006134969,0.028325,0.00015,0.0246,2,0,0,0,0,1,4,0,0,0.367,2,44.65728548,161.7388236,188.3431639,18.05294519,14,206.3961091,3.564356091,22,1.614712419,0.024213152,6.59447385,0.709675842,0.229844033,0.135187992,0.000537818,0,0.17811568,0.000391141,0.527599863,0.004253655,0,0,0.251767617,0.122260193,0.53,0.46,0.10138715,1.743733513,0.185595797,0.744667678,0.246974863,0.670397387,0.325695333,0.687135029,0.308885142,0.236167341,0.587053244,0.731726397,0.523981812,0.688260891,0.57864372,0.462860398,0.468340011,0.555601383,0.351637992,0.221973446,0.460680336,366,5.29147282,107,2.938503573,0.896459685,0.628848964,-1.287684997,252849.1854,5463042.058,0.626802914,63,0.259550562,0.052631579,0.173913043,1.495495677,40.43201065,20,1.643820577,3.99,0.3,0.02,1.01,0.4,0.01,11.36,1.35,0.17,5.36,3.32,0.6,2.93,0.18,3.71,0.407183026,0.072662324,0.474489796,0.132653061,1,0,0.339583333,0.080059524,0.078947368,0.315789474,0.448994301,0.126657249,0.187959352,0.098587971,0.066666667,0,0.349807646,0.200825351,0.457287166,0.109716794,0.544444444,0.177777778,0.36310179,0.264785418,0.333333333,0.166666667,0.387944724,0.248851514,19.2321418,3.723542584,0.00837868,1.403020595,0.46558746,39.50349947,11.9587288,6.550501364,23.51157611,0.000172487,0.001004914,30.06325488,62.29884985,3.998733771,0.029213799,0.625465842,0.370418721,0.452958893,0.54230749,0.991106966,0.008893034,0.746448726,0.249276945,0.781878664,0.212614004,0.800441418,0.194749891,0.782308919,0.212544879,0.690621637,0.304965345,0.741797293,0.253228178,0,1,0.733427987,0.261689164,0.705230977,0.288692808,0.610208539,0.384925484,0.489861161,0.508353316,23.12,2.89,4.857092198,0.961713022
HF2H 0m A,HF2,"42.552057, -72.171025",Hardwood,0,0.052165723,0,20.6120274,0.023447145,964.7,4.51,18.8,1,2,0.386973684,0.194676969,0,0.991869919,0.0226,0,0.0183,1,0,4,0,0,0,3,0,0,0.359,6,4.718148288,718.9386878,681.1935015,42.46333459,3,723.6568361,125.9041654,1,1.679305527,-0.040366644,3.9285194,0.580691991,0.130897653,0.094523752,0,0.001290427,0.501169449,0.046777966,0.034035003,0.000645213,0.000161303,0.001436374,0.339568754,0.087518581,0.31,0.36,0.038322081,2.971041943,0.62654806,0.647960404,0.336081374,0.887216089,0.085706964,0.847079732,0.13673759,0.44,0.155496411,0.686748931,0.092184854,0.58109525,0.149931446,0.479798908,0.505369699,0.643679121,0.386334408,0.210946503,0.494730513,494,5.438670498,114,2.929898255,0.876846329,0.618618136,1.601134193,1739754.925,9018226.136,0.099040245,65,0.382518797,0.16,0.444444444,0.659009695,12.93145657,30,1.229866494,3.77,0.43,0.07,1.03,0.26,0.03,13.04,1.15,0.14,5.46,2.92,0.53,3,0.16,3.69,0.659673576,0.064113415,0.622222222,0.171428571,1,0,0.596941095,0.061301912,0.24,0.56,0.638471127,0.071011594,0.416504884,0.050711233,0.769230769,0,0.572564914,0.174255191,0.738221028,0.04406257,0.751736111,0.103009259,0.653059926,0.097852167,0.6875,0.0625,0.668954178,0.097306841,25.27761543,5.108320484,0.005604848,1.686260562,0.673461066,23.41581132,20.0474318,7.675162462,29.47079939,2.89E-05,0.000289239,37.14628001,53.82260956,4.659591509,0.040798548,0.748851923,0.237790327,0.675254267,0.309923863,0.888236318,0.111763682,0.8190256,0.167097266,0.688742044,0.287752014,0.862294596,0.12484412,0.871007575,0.117623661,0.849119332,0.140316123,0.830120997,0.154939227,0,1,0.833850736,0.152069864,0.799921279,0.179000381,0.829145612,0.15396322,0.784897825,0.208907662,24.44,3.055,5.242050113,1.043136324
HF2H 0m B,HF2,"42.552057, -72.171025",Hardwood,0,0.068293809,0,15.9522988,0,784.4,4.95,18.8,1,2,0.4395189,0.232985898,0,0.991869919,0.0226,0,0.0183,0,0,5,0,0,0,1,0,0,0.639,5,4.718148288,718.9386878,681.1935015,42.46333459,3,723.6568361,125.9041654,1,2.006878693,-0.036618277,3.9285194,0.693702459,0.113037325,0.067530515,0,0.004157085,0.020431629,0.016009199,0.657217407,0.000751813,0,0.005932039,0.351344381,0.114288478,0.39,0.23,0.009123001,0.698369844,0.049147024,0.193090454,0.751108204,0.199846641,0.70740184,0.319825903,0.627707868,0.640860215,0.715770387,0.800283036,0.640677516,0.740624447,0.725190165,0.478141724,0.569185634,0.63830679,0.396447224,0.267779999,0.52463086,405,5.361392867,126,1.995094596,0.892986961,0.412526531,1.603899532,230757.1739,1030052.81,0.665708473,65,0.184430028,0.161290323,0.47826087,0.675475657,14.37156868,17,0.606036301,3.92,0.41,0.11,0.89,0.34,0.01,12.91,1,0.16,5.94,3.09,0.54,3.31,0.17,4.02,0.600614117,0.140527185,0.462301587,0.202380952,0.909090909,0,0.487945178,0.196828731,0.241935484,0.661290323,0.572143514,0.159097658,0.364721327,0.196324144,0.866666667,0,0.511849061,0.263248992,0.557403038,0.16091174,0.604761905,0.295238095,0.570279847,0.286934272,0.647058824,0.235294118,0.577947962,0.286276242,4.380227228,1.10157924,0.001104222,0.345403005,0.110587148,3.782526062,2.865160103,1.380345676,4.99858804,5.71E-05,0.000570962,6.379561774,10.12122143,0.90057369,0.016844557,0.187527276,0.74816902,0.117868056,0.81780786,0.862229996,0.137770004,0.246624137,0.684501214,0.21419997,0.703860062,0.261251624,0.678689747,0.27444054,0.665497941,0.230492995,0.711839264,0.249936151,0.683232533,0,1,0.246337502,0.688523251,0.194966078,0.730699574,0.261340886,0.67609313,0.259029515,0.705353569,24.96,3.12,1.415527595,1.778750185
HF2H 15m A,HF2,"42.552057, -72.171025",Hardwood,15,0.07144769,0,34.1245306,0.855223238,1092,4.83,18,2.3,8,0.582687339,0.362229102,0,0.989558233,0.0343,0,0.0308,3,0,3,0,0,0,4,0,0,0.366,8,350.0406072,0,350.0406072,0,8,350.0406072,0.002848673,3,0.101846723,-0.003511956,7.361724858,0.289749182,0.316139586,0.27219193,0,0,0.26434024,0.024427481,0.002071974,0,0,0.002586644,0.341262212,0.065889508,0.36,0.38,0.025102188,2.526719803,0.246224995,0.541261901,0.340348327,0.562591565,0.276492392,0.741509765,0.173594167,0,0.497928026,0.623664122,0.280043621,0.3608506,0.35736096,0.555079784,0.615009525,0.672789556,0.443172484,0.244752434,0.571158921,460,5.421902871,107,3.108336606,0.88430967,0.665193765,0.229625546,1342844.164,192965.4431,0.33391494,62,0.507918552,0.422580645,0.578947368,1.335332751,20.51589394,5,0.478210915,5.07,0.41,0.1,1.05,0.31,0.01,15.09,1.12,0.23,6.64,3.62,0.51,3.56,0.21,4.28,0.67226573,0,0.613636364,0,1,0,0.492789116,0,0.64516129,0,0.690189922,0,0.474098639,0,0.842105263,0,0.68338874,0,0.787749225,0,0.609529833,0,0.771465449,0,0.761904762,0,0.750825135,0,18.49573606,6.502164541,0.017723349,1.516851533,0.45872754,15.69420062,12.31405522,6.178838486,22.90598564,0.000194427,0.001944267,29.08696282,41.41696562,3.763626948,0.08405445,0.540994588,0.349465204,0.366719791,0.51883969,0.892359099,0.107640901,0.608138697,0.271356239,0.596917621,0.251794014,0.619841455,0.245186216,0.655316145,0.221237084,0.606264309,0.281058711,0.612401206,0.262024849,0,1,0.611296385,0.265379852,0.522440872,0.285715973,0.62416714,0.255401031,0.673449748,0.306742973,29.16,3.645,3.796314925,0
HF2H 15m B,HF2,"42.552057, -72.171025",Hardwood,15,0.101089067,0,19.20373436,1.963472489,1435,4.93,18,2.3,8,0.676821192,0.627868852,0,0.989558233,0.0343,0,0.0308,2,0,4,0,0,1,2,0,0,0.306,7,350.0406072,0,350.0406072,0,8,350.0406072,0.002848673,3,1.309328474,-0.045149258,7.361724858,0.366149088,0.359319631,0.267121964,0.002706011,0.008826751,0.360672637,0.00057986,0.005218736,0.003285871,0,0.005097983,0.338628439,0.088970003,0.37,0.39,0.03874498,3.026708715,0.252943687,0.552795902,0.357918746,0.750676434,0.11516681,0.83286062,0.106298633,0.422222222,0.509309967,0.652148702,0.379099285,0.478577411,0.438631531,0.502865067,0.558167989,0.618895165,0.388282795,0.240889904,0.497012582,452,5.40013966,203,3.317910571,0.8832876,0.624464887,-0.638347155,1575674.88,357664.6083,0.39043876,62,0.651587302,0.244444444,0.58974359,2.656637311,42.1348095,9,0.424031722,4.79,0.43,0.09,1.05,0.31,0.03,14.66,1.1,0.19,6.38,3.3,0.56,3.46,0.19,4.21,0.701571724,0.045496664,0.613708514,0.084415584,1,0,0.573886953,0.058072009,0.283333333,0.55,0.665156412,0.062569208,0.461737678,0.045831245,0.8125,0,0.623258905,0.137294921,0.793477557,0.036332705,0.73282967,0.103708791,0.721109411,0.093567638,0.736842105,0.052631579,0.723517631,0.093553351,21.77950293,8.73114336,0.024092776,1.704476936,0.493110931,18.02238777,14.79520947,6.902847108,26.1198599,0.000255486,0.002554861,33.02551735,47.54895387,4.409983555,0.10899479,0.618256293,0.280578923,0.452648257,0.433288474,0.874593552,0.125406448,0.670154913,0.227477813,0.627128682,0.251763772,0.676333564,0.219402587,0.698643287,0.207955305,0.664363623,0.241136389,0.673378006,0.222818185,0,1,0.671717016,0.226150479,0.569883276,0.275690863,0.712334996,0.195756406,0.86647419,0.120868233,28.18,3.5225,4.167200887,0.868316597
HF2H 30m A,HF2,"42.552057, -72.171025",Hardwood,30,0.0362778,0,NA,NA,NA,4.71,17.6,1,4,0.649868766,0.534482759,0,0.996204934,0.03385,0,0.02625,1,0,3,0,0,1,4,0,0,0.523,4,131.0195323,0,131.0195323,0,6,131.0195323,0.007574637,1,0,NA,10.58126548,0.438182913,0.401359374,0.306719436,0.006366687,0.001376581,0.337778543,0.047664114,0.066333993,0.000860363,0,0.001707333,0.325495732,0.081952006,0.28,0.36,0.04310163,2.545105789,0.229845011,0.609607898,0.382364262,0.754370464,0.220059496,0.827039983,0.166992557,0,0.601737933,0.736987009,0.352834896,0.635033984,0.423126559,0.525630167,0.574242119,0.64039793,0.409034079,0.26626336,0.539154399,609,5.755296969,154,3.726348206,0.897607625,0.739802119,-0.17903821,647673.1522,1706682.99,0.405833262,62,0.591947769,0.270833333,0.388888889,NA,NA,23,1.139148073,3.65,0.3,0.07,0.82,0.24,0,11.51,0.98,0.18,5.06,2.85,0.39,2.68,0.16,3.23,0.618568927,0,0.517195767,0,1,0,0.411022167,0,0.541666667,0,0.607528794,0,0.384070295,0,0.75,0,0.629903118,0,0.67457265,0,0.452222222,0,0.694354732,0,0.6875,0,0.662474199,0,21.46403934,8.335120465,0.021205242,1.715244964,0.487865081,20.27426266,14.48079653,6.894504294,26.17352133,0.000170143,0.001701434,33.0698972,46.54211475,4.283852857,0.080078213,0.649190795,0.340465638,0.4996026,0.490160631,0.922176311,0.077823689,0.731835463,0.258275834,0.730281017,0.252454163,0.75681173,0.232291487,0.768117537,0.221536751,0.727232225,0.262349375,0.738005229,0.250028612,0,1,0.736055211,0.252254116,0.680240006,0.299768759,0.754530853,0.234713363,0.727591635,0.272408365,22.04,2.755,4.657569509,0
HF2H 30m B,HF2,"42.552057, -72.171025",Hardwood,30,0.098296493,0,NA,NA,NA,4.83,17.6,1,4,0.705447471,0.788639366,0,0.996204934,0.03385,0,0.02625,1,0,4,0,0,0,3,1,0,0.504,5,131.0195323,0,131.0195323,0,6,131.0195323,0.007574637,1,1.334618595,NA,10.58126548,0.034270881,0.895478741,0.873463889,0.015574686,0.00032858,0.000197148,0.005092988,0.028980745,0,0,0.038101286,0.405725777,0.087262528,0.34,0.28,0.017404078,0.207506054,0.020150929,0.497051614,0.345756167,0.59814807,0.311840896,0.429943899,0.415736393,0,0.025530657,0.069954656,0.001084314,0.053328514,0.024347769,0.46136953,0.692385035,0.73667778,0.329496746,0.307165158,0.607292163,519,5.671107073,133,1.690936879,0.907100809,0.345770176,-0.865312241,2159276.128,4746731.912,0.007031609,62,0.621928166,0.338709677,0.351851852,NA,NA,7,0.139722601,4.48,0.42,0.11,1.13,0.31,0,13.79,1.08,0.14,6.3,3.41,0.51,3.7,0.2,4.41,0.629548496,0,0.644274376,0,1,0,0.677906254,0,0.677419355,0,0.729267151,0,0.577777778,0,0.833333333,0,0.637124711,0,0.772591361,0,0.680555556,0,0.708899995,0,0.8,0,0.708131796,0,2.318881809,0.195971305,3.19E-05,0.142397085,0.059062144,5.384124104,1.30875418,0.715018841,2.665863929,4.14E-05,0.000414116,3.381338298,8.231799021,0.45773064,0.006176761,0.509173932,0.353608836,0.361692218,0.473308785,0.228321623,0.771678377,0.636729546,0.256412779,0.604573558,0.28076046,0.618709518,0.281370362,0.555127824,0.313335543,0.48255195,0.389011055,0.587886501,0.29351448,0,1,0.571941632,0.307988208,0.534223532,0.340044926,0.4178761,0.4038115,0.291482592,0.481346905,26.91,3.36375,3.762153918,0
HF2H 60m A,HF2,"42.552057, -72.171025",Hardwood,60,0.093125894,0,10.29783874,0.123182592,690.3,3.55,19.6,0,19,0.715223097,0.898156682,0,0.950980392,0.012825,0,0.0097,1,0,2,0,0,3,3,2,0,0.512,3,0,193.8833474,14.71864914,0,3,193.8833474,194.8833474,1,0,0,4.083912009,0.747419725,0.204510703,0.08161315,0,0,0.684633028,0.049311927,0.109136086,0,0,0,0.256870486,0.086087648,0.43,0.43,0.030394865,1.420159985,0.150710588,0.168687932,0.815101373,0.363521214,0.564349918,0.260246909,0.704361541,0.395894428,0.098432722,0.243119266,0.001815749,0.200496942,0.106077982,0.453100135,0.467728608,0.522401763,0.354755784,0.228363325,0.435962174,471,5.533291056,84,1.847670468,0.899011963,0.417004483,-3.058877762,891971.1826,19890238.53,0.03058104,64,0.763343404,0.064516129,0.186046512,2.001927436,46.56102371,11,0.779715342,3.48,0.25,0.01,0.83,0.32,0.01,9.27,1.06,0.13,4.45,2.63,0.53,2.27,0.14,2.94,0.438661963,0.065086319,0.460884354,0.178571429,1,0,0.386701262,0.099206349,0.096774194,0.548387097,0.486839904,0.091894386,0.234478458,0.049926304,0.076923077,0,0.387928346,0.17470695,0.550265389,0.047325001,0.547297297,0.156756757,0.445769851,0.16903512,0.428571429,0.071428571,0.460173976,0.163601046,12.4817904,4.279152731,0.00033479,0.869950013,0.297972597,11.16940239,8.881198772,3.485976331,14.18482391,0.000455335,0.004553352,17.67580893,26.96468667,2.113898134,0.025838211,0.268720819,0.702030774,0.276340282,0.684103943,0.072583462,0.927416538,0.369328586,0.600329946,0.261496565,0.699220721,0.330654591,0.647748108,0.341657405,0.637101739,0.356596188,0.620999273,0.351212344,0.621150541,0,1,0.352172735,0.621219013,0.288179841,0.679791183,0.322903526,0.641087975,0.245931471,0.71576801,19.16,2.395,1.963408616,1.085783141
HF2H 60m B,HF2,"42.552057, -72.171025",Hardwood,60,0.10287615,0,22.03662271,0,810.2,3.89,19.6,0,19,0.733113456,0.950568463,0,0.950980392,0.012825,0,0.0097,1,0,3,0,0,3,3,2,0,0.509,4,0,193.8833474,14.71864914,0,3,193.8833474,194.8833474,1,2.075444783,-0.071567061,4.083912009,0.814557522,0.150973451,0.055088496,0,0,0.748893805,0.014247788,0.099469027,0,0,0.000555314,0.366169298,0.091047371,0.6,0.35,0.011782978,3.530087685,0.763606067,0.701127432,0.284223968,0.914340811,0.065446009,0.849105108,0.135003644,0.265700483,0.072123894,0.685265487,0.062964602,0.69,0.104336283,0.523226616,0.566299676,0.65063499,0.383649621,0.242454971,0.516804288,361,5.364488897,97,1.879228439,0.910952636,0.410786266,-3.021977245,791957.9611,2119933.064,0.072831858,64,0.760869565,0.115942029,0.285714286,2.018211961,52.04507447,17,0.974306243,5.23,0.41,0.05,1.14,0.5,0,14.2,1.44,0.18,7.14,4.22,0.75,3.86,0.24,4.85,0.451503758,0.105013162,0.446759259,0.163194444,0.8,0,0.384955649,0.106915266,0.115942029,0.376811594,0.477852775,0.132293052,0.383492063,0.128888889,0.764705882,0.058823529,0.38570852,0.178591463,0.506585321,0.083489285,0.327216312,0.179609929,0.408007512,0.211514318,0.583333333,0.125,0.402909616,0.20413046,29.97200415,6.345416269,0.001517622,1.870126577,0.770354678,29.21415019,25.18361629,8.717893025,34.68705409,8.16E-05,0.000816094,43.40584482,63.93933667,5.020902714,0.023345428,0.848638396,0.137807551,0.854053875,0.12787188,0.352136619,0.647863381,0.897906335,0.091227539,0.838301062,0.138824789,0.873015956,0.117519724,0.882083243,0.108968013,0.896701301,0.094649929,0.886340476,0.102312835,0,1,0.888424388,0.100775739,0.852622939,0.131091009,0.873041509,0.112122076,0.803863072,0.179252083,29.4,3.675,5.865665995,1.098159446
HF2M 0m A,HF2,"42.551478, -72.174021",Mixed,0,0.011360366,0,4.118089928,0,986.1,5.08,18.3,0.5,1,0.18696219,0.071039128,0,1.003246753,0.0256,0,0.023175,1,0,2,4,0,0,3,0,0,0.539,8,21.61085395,7.57895839,29.18981234,0,4,29.18981234,0.379417708,7,5.607546944,NA,1.393677463,0.722956194,0.182477401,0.155458429,0,0,0.069136784,0,0.654117413,0.000198669,0,0.008974151,0.342513412,0.05995773,0.33,0.38,0.016762481,0.739537602,0.084039374,0.214795403,0.722632312,0.205528736,0.698988564,0.359300519,0.58353533,0.12037037,0.833416112,0.90354624,0.704281315,0.797457038,0.78881494,0.501072996,0.57202081,0.657811738,0.382929605,0.224061128,0.531035604,584,5.599309483,115,2.684382335,0.879026142,0.565736719,3.046567082,60798.36271,85509.12265,0.789311612,65,0.089500861,0.342592593,0.447368421,0.2906079,5.726049185,22,1.258172678,4.25,0.47,0.1,1.02,0.28,0.02,13.89,1.17,0.2,5.89,3.29,0.5,3.3,0.17,3.97,0.672285462,0.07795363,0.559451659,0.171428571,0.9,0,0.510688153,0.102238676,0.259259259,0.537037037,0.624989673,0.077489969,0.396825397,0.060744811,0.777777778,0.055555556,0.533863213,0.171400871,0.682273592,0.037075134,0.699330357,0.147767857,0.652960494,0.091921639,0.705882353,0.058823529,0.661790172,0.098969297,6.113649627,1.390095538,0.002950936,0.616590643,0.179171712,5.409960217,3.653286973,2.348368908,8.363571924,1.42E-05,0.000142496,10.71209758,14.2545605,1.511858615,0.019941594,0.174937654,0.76642982,0.086572102,0.879020923,0.994839917,0.005160083,0.244795876,0.680724917,0.274089062,0.61707107,0.303925999,0.597599488,0.336974515,0.569582811,0.259918703,0.665912795,0.260876143,0.652954587,0,1,0.260702105,0.65527082,0.217102294,0.658440815,0.269098722,0.653995416,0.214108438,0.785891562,26.33,3.29125,1.51621839,0.792911073
